,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,time signature,genre
2meEiZKWkiN28gITzFwQo5,0.623,0.734,-5.948,0.107,0.0162,1.75e-06,0.145,0.37,107.853,9,1,4,pop
1OXfWI3FQMdsKKC6lkvzSx,0.698,0.844,-4.549,0.067,0.0577,1.69e-05,0.105,0.446,126.937,7,0,4,pop
4pSPMXaCjbaV3VSzZQYC7H,0.689,0.737,-4.516,0.0268,0.00482,0.0,0.0777,0.47,140.0,9,1,4,pop
6Knv6wdA0luoMUuuoYi2i1,0.688,0.702,-4.792,0.0499,0.0215,0.0,0.128,0.74,94.006,7,0,4,pop
2AZXe8nq18mPITmPy5KJwQ,0.706,0.841,-3.956,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,7,1,4,pop
4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,-6.181,0.119,0.321,0.0,0.42,0.464,90.03,0,1,4,pop
4E6cwWJWZw2zWf7VFbH7wf,0.583,0.786,-3.142,0.0301,0.0208,0.0,0.188,0.573,123.055,2,0,4,pop
3veFQzlEOTpcGGIbYPKdYq,0.858,0.677,-3.842,0.0465,0.0752,0.0,0.0718,0.925,117.005,1,0,4,pop
6r2BECwMgEoRb5yLfp0Hca,0.587,0.828,-5.108,0.161,0.00327,0.0,0.331,0.494,123.907,11,1,4,pop
6mnjcTmK8TewHfyOp3fC9C,0.711,0.7,-4.805,0.046,0.00498,0.000125,0.215,0.801,128.001,1,0,4,pop
2cVJq55ISQ7LNkWibZzRSY,0.491,0.82,-4.782,0.0342,0.0226,0.000131,0.0695,0.413,174.046,0,0,4,pop
2Z8WuEywRWYTKe1NybPQEW,0.645,0.713,-5.355,0.0393,0.00835,0.0,0.113,0.566,74.989,6,1,4,pop
7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,8,1,4,pop
4pLwZjInHj3SimIyN9SnOz,0.648,0.738,-5.883,0.247,0.0408,0.0,0.292,0.603,159.145,6,0,4,pop
06KyNuuMOX1ROXRhj787tj,0.728,0.563,-8.053,0.134,0.621,0.0,0.179,0.352,100.017,1,0,4,pop
1V6gIisPpYqgFeWbMLI0bA,0.504,0.785,-4.802,0.104,0.0738,0.0,0.239,0.502,173.968,8,1,4,pop
5NFCgUd9vBbHTgtklydT5W,0.817,0.633,-6.234,0.0475,0.209,1.24e-05,0.117,0.57,98.033,4,0,4,pop
1DSJNBNhGZCigg9ll5VeZv,0.748,0.939,-4.288,0.0341,0.0534,0.0,0.32,0.96,104.001,0,0,4,pop
2ACOWPLUe4A4KuQ5ioD2od,0.596,0.851,-4.245,0.121,0.0358,3.19e-05,0.365,0.612,202.049,5,0,4,pop
1vYh9x8UmFTLbXiizk9Qc5,0.749,0.774,-6.221,0.12,0.0857,1.14e-05,0.11,0.35,99.019,9,1,4,pop
30o4hMJ6OC9uv954GT6OZU,0.339,0.67,-5.995,0.0457,0.0303,0.0369,0.225,0.383,114.903,2,1,4,pop
5WfhXulggG0c6WoVeMPA8N,0.648,0.785,-5.414,0.165,0.0561,0.0,0.148,0.943,160.02,7,1,4,pop
294vBlXfZYspeI29SXZaON,0.512,0.803,-5.135,0.0531,0.00362,0.000583,0.116,0.591,124.162,2,1,4,pop
2ekn2ttSfGqwhhate0LSR0,0.762,0.7,-6.021,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,9,0,4,pop
365hbjh0wlAIGOfRW5hdZc,0.523,0.748,-2.165,0.0395,0.226,0.0,0.27,0.329,84.954,1,1,4,pop
